"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5347","POM demo - login and add to cart @smoke","chromium","Mon Oct 20 18:38:21 EEST 2025","passed","Mon Oct 20 18:38:27 EEST 2025","","pom.spec.ts","",""
"","5240","POM demo - login and add to cart2 @smoke","chromium","Mon Oct 20 18:38:21 EEST 2025","passed","Mon Oct 20 18:38:26 EEST 2025","","pom.spec.ts","",""
